date,count
2020-03-01,31607
2020-03-02,26250
2020-03-03,31855
2020-03-04,33088
2020-03-05,30965
2020-03-06,33335
2020-03-07,35576
2020-03-08,37015
2020-03-09,42926
2020-03-10,44002
2020-03-11,28290
2020-03-12,41372
2020-03-13,41926
2020-03-14,41041
2020-03-15,41407
2020-03-16,37807
2020-03-17,41229
2020-03-18,42873
2020-03-19,49700
2020-03-20,35888
2020-03-21,47663
2020-03-22,51067
2020-03-23,53702
2020-03-24,55463
2020-03-25,59737
2020-03-26,62928
2020-03-27,54215
2020-03-28,59409
2020-03-29,60573
2020-03-30,62924
2020-03-31,64216
2020-04-01,67443
2020-04-02,66848
2020-04-03,68594
2020-04-04,70319
2020-04-05,67675
2020-04-06,66946
2020-04-07,68228
2020-04-08,70268
2020-04-09,70444
2020-04-10,71260
2020-04-11,72354
2020-04-12,73110
2020-04-13,68580
2020-04-14,74038
2020-04-15,76542
2020-04-16,80371
2020-04-17,79622
2020-04-18,60907
2020-04-19,81345
2020-04-20,56494
2020-04-21,64043
2020-04-22,62085
2020-04-23,58774
2020-04-24,62722
2020-04-25,65804
2020-04-26,69189
2020-04-27,72509
2020-04-28,72324
2020-04-29,77180
2020-04-30,79623
2020-05-01,84694
2020-05-02,85547
2020-05-03,85510
2020-05-04,86632
2020-05-05,88883
2020-05-06,87662
2020-05-07,88188
2020-05-08,89098
2020-05-09,78767
2020-05-10,54059
2020-05-11,70547
2020-05-12,70993
2020-05-13,73076
2020-05-14,78403
2020-05-15,80079
2020-05-16,52082
2020-05-17,67906
2020-05-18,74577
2020-05-19,56363
2020-05-20,62204
2020-05-21,72661
2020-05-22,76755
2020-05-23,78154
2020-05-24,85258
2020-05-25,79390
2020-05-26,85536
2020-05-27,76630
2020-05-28,89472
2020-05-29,89460
2020-05-30,93614
2020-05-31,95928
2020-06-01,93165
2020-06-02,96330
2020-06-03,88765
2020-06-04,97463
2020-06-05,95193
2020-06-06,100014
2020-06-07,100127
2020-06-08,100085
2020-06-09,101279
2020-06-10,101117
2020-06-11,84184
2020-06-12,97301
2020-06-13,99527
2020-06-14,94162
2020-06-15,95791
2020-06-16,100699
2020-06-17,101032
2020-06-18,102786
2020-06-19,104753
2020-06-20,105323
2020-06-21,103532
2020-06-22,100945
2020-06-23,101335
2020-06-24,102566
2020-06-25,70152
2020-06-26,74160
2020-06-27,87333
2020-06-28,91684
2020-06-29,91028
2020-06-30,81388
