date,dust
2015-01-01,65.2
2015-01-02,31.375
2015-01-03,39.95
2015-01-04,45.65
2015-01-05,80.1
2015-01-06,41.05
2015-01-07,36.25
2015-01-08,46.475
2015-01-09,52.225
2015-01-10,41.45
2015-01-11,46.6
2015-01-12,46.8
2015-01-13,62.075
2015-01-14,75.9
2015-01-15,66.475
2015-01-16,84.95
2015-01-17,37.275
2015-01-18,36.175
2015-01-19,65.2
2015-01-20,51.55
2015-01-21,64.1
2015-01-22,49.55
2015-01-23,47.475
2015-01-24,57.55
2015-01-25,64.1
2015-01-26,44.2
2015-01-27,50.925
2015-01-28,46.35
2015-01-29,53.825
2015-01-30,40.55
2015-01-31,42.875
2015-02-01,33.575
2015-02-02,46.5
2015-02-03,64.85
2015-02-04,83.925
2015-02-05,96.225
2015-02-06,56.5
2015-02-07,49.575
2015-02-08,99.425
2015-02-09,41.65
2015-02-10,102.325
2015-02-11,93.925
2015-02-12,37.55
2015-02-13,34.05
2015-02-14,59.15
2015-02-15,82.825
2015-02-16,44.325
2015-02-17,68.025
2015-02-18,64.9
2015-02-19,65.025
2015-02-20,53.85
2015-02-21,26.425
2015-02-22,246.475
2015-02-23,553.1
2015-02-24,108.575
2015-02-25,74.9
2015-02-26,36.45
2015-02-27,33.025
2015-02-28,47.275
2015-03-01,99.375
2015-03-02,90.575
2015-03-03,54.4
2015-03-04,43.625
2015-03-05,44.15
2015-03-06,49.35
2015-03-07,54.925
2015-03-08,89.875
2015-03-09,72.8
2015-03-10,32.95
2015-03-11,42.8
2015-03-12,33.95
2015-03-13,46.175
2015-03-14,40.575
2015-03-15,45.425
2015-03-16,95.0
2015-03-17,133.4
2015-03-18,80.75
2015-03-19,57.05
2015-03-20,103.025
2015-03-21,170.925
2015-03-22,144.625
2015-03-23,56.35
2015-03-24,44.725
2015-03-25,44.5
2015-03-26,48.575
2015-03-27,56.275
2015-03-28,48.95
2015-03-29,73.275
2015-03-30,152.475
2015-03-31,113.325
2015-04-01,26.3
2015-04-02,24.25
2015-04-03,37.4
2015-04-04,17.025641025641026
2015-04-05,18.7
2015-04-06,60.65
2015-04-07,41.95
2015-04-08,31.375
2015-04-09,52.525
2015-04-10,58.2
2015-04-11,70.725
2015-04-12,50.725
2015-04-13,29.05
2015-04-14,21.0
2015-04-15,47.425
2015-04-16,80.35
2015-04-17,69.575
2015-04-18,57.94871794871795
2015-04-19,30.46153846153846
2015-04-20,15.615384615384615
2015-04-21,44.76923076923077
2015-04-22,73.34210526315789
2015-04-23,64.56410256410257
2015-04-24,73.28205128205128
2015-04-25,59.0
2015-04-26,54.43589743589744
2015-04-27,63.69230769230769
2015-04-28,48.717948717948715
2015-04-29,44.43589743589744
2015-04-30,32.76923076923077
2015-05-01,43.1
2015-05-02,39.28947368421053
2015-05-03,26.92105263157895
2015-05-04,49.61538461538461
2015-05-05,39.58974358974359
2015-05-06,47.425
2015-05-07,44.375
2015-05-08,57.175
2015-05-09,41.275
2015-05-10,41.425
2015-05-11,43.7
2015-05-12,39.55
2015-05-13,67.6
2015-05-14,59.1
2015-05-15,99.3
2015-05-16,52.425
2015-05-17,55.275
2015-05-18,43.95
2015-05-19,51.025
2015-05-20,41.85
2015-05-21,44.5
2015-05-22,53.1
2015-05-23,44.45
2015-05-24,33.15
2015-05-25,43.55
2015-05-26,40.9
2015-05-27,39.025
2015-05-28,43.225
2015-05-29,49.325
2015-05-30,40.175
2015-05-31,43.9
2015-06-01,39.475
2015-06-02,37.675
2015-06-03,43.525
2015-06-04,41.225
2015-06-05,33.6
2015-06-06,32.1
2015-06-07,31.65
2015-06-08,39.3
2015-06-09,44.425
2015-06-10,49.65
2015-06-11,42.275
2015-06-12,46.5
2015-06-13,75.38461538461539
2015-06-14,32.421052631578945
2015-06-15,39.76923076923077
2015-06-16,48.69230769230769
2015-06-17,45.794871794871796
2015-06-18,28.512820512820515
2015-06-19,25.512820512820515
2015-06-20,39.51282051282051
2015-06-21,23.153846153846153
2015-06-22,31.974358974358974
2015-06-23,35.35897435897436
2015-06-24,41.87179487179487
2015-06-25,41.87179487179487
2015-06-26,13.205128205128204
2015-06-27,14.18421052631579
2015-06-28,23.657894736842106
2015-06-29,24.725
2015-06-30,33.35
2015-07-01,35.75
2015-07-02,51.525
2015-07-03,39.55
2015-07-04,32.25
2015-07-05,33.65
2015-07-06,30.8
2015-07-07,34.95
2015-07-08,11.35
2015-07-09,12.85
2015-07-10,22.225
2015-07-11,28.525
2015-07-12,11.05
2015-07-13,33.575
2015-07-14,65.275
2015-07-15,48.84615384615385
2015-07-16,13.9
2015-07-17,13.435897435897436
2015-07-18,30.384615384615383
2015-07-19,25.076923076923077
2015-07-20,23.825
2015-07-21,28.425
2015-07-22,33.675
2015-07-23,28.475
2015-07-24,17.1
2015-07-25,21.025
2015-07-26,18.9
2015-07-27,28.307692307692307
2015-07-28,35.717948717948715
2015-07-29,39.65
2015-07-30,71.0
2015-07-31,59.0
2015-08-01,48.0
2015-08-02,31.875
2015-08-03,28.775
2015-08-04,27.25
2015-08-05,32.725
2015-08-06,34.85
2015-08-07,41.075
2015-08-08,33.61538461538461
2015-08-09,20.94736842105263
2015-08-10,30.45
2015-08-11,57.425
2015-08-12,51.925
2015-08-13,39.625
2015-08-14,39.575
2015-08-15,65.94871794871794
2015-08-16,66.23076923076923
2015-08-17,27.35
2015-08-18,23.2
2015-08-19,37.026315789473685
2015-08-20,37.3421052631579
2015-08-21,31.68421052631579
2015-08-22,39.1578947368421
2015-08-23,38.91891891891892
2015-08-24,30.18421052631579
2015-08-25,9.157894736842104
2015-08-26,12.18918918918919
2015-08-27,22.7027027027027
2015-08-28,30.054054054054053
2015-08-29,33.027027027027025
2015-08-30,33.972972972972975
2015-08-31,34.0
2015-09-01,25.72222222222222
2015-09-02,27.027027027027028
2015-09-03,25.56756756756757
