date,count
2015-09-19,724
2015-09-20,907
2015-09-21,553
2015-09-22,796
2015-09-23,804
2015-09-24,914
2015-09-25,1022
2015-09-26,838
2015-09-27,706
2015-09-28,1382
2015-09-29,1870
2015-09-30,1087
2015-10-01,240
2015-10-02,1138
2015-10-03,32
2015-10-04,126
2015-10-05,204
2015-10-06,917
2015-10-07,923
2015-10-08,1106
2015-10-09,1504
2015-10-10,625
2015-10-11,467
2015-10-12,849
2015-10-13,882
2015-10-14,589
2015-10-15,1189
2015-10-16,1593
2015-10-17,2352
2015-10-18,2369
2015-10-19,1758
2015-10-20,1977
2015-10-21,2003
2015-10-22,2135
2015-10-23,2123
2015-10-24,2379
2015-10-25,2824
2015-10-26,1359
2015-10-27,1387
2015-10-28,1919
2015-10-29,1394
2015-10-30,1298
2015-10-31,1354
2015-11-01,1378
2015-11-02,1853
2015-11-03,2131
2015-11-04,2092
2015-11-05,2195
2015-11-06,1413
2015-11-07,64
2015-11-08,210
2015-11-09,1328
2015-11-10,1927
2015-11-11,2100
2015-11-12,2271
2015-11-13,431
2015-11-14,487
2015-11-15,1994
2015-11-16,753
2015-11-17,2111
2015-11-18,671
2015-11-19,1588
2015-11-20,1769
2015-11-21,1689
2015-11-22,1170
2015-11-23,1240
2015-11-24,1399
2015-11-25,429
2015-11-26,804
2015-11-27,797
2015-11-28,553
2015-11-29,236
2015-11-30,1042
2015-12-01,1161
2015-12-02,497
2015-12-03,412
2015-12-04,828
2015-12-05,647
2015-12-06,594
2015-12-07,981
2015-12-08,1063
2015-12-09,1157
2015-12-10,797
2015-12-11,1139
2015-12-12,908
2015-12-13,917
2015-12-14,526
2015-12-15,939
2015-12-16,760
2015-12-17,683
2015-12-18,711
2015-12-19,590
2015-12-20,626
2015-12-21,601
2015-12-22,983
2015-12-23,873
2015-12-24,779
2015-12-25,472
2015-12-26,452
2015-12-27,346
2015-12-28,596
2015-12-29,681
2015-12-30,572
2015-12-31,674
2016-01-01,523
2016-01-02,750
2016-01-03,679
2016-01-04,841
2016-01-05,789
2016-01-06,787
2016-01-07,772
2016-01-08,717
2016-01-09,478
2016-01-10,545
2016-01-11,735
2016-01-12,681
2016-01-13,594
2016-01-14,600
2016-01-15,761
2016-01-16,516
2016-01-17,587
2016-01-18,487
2016-01-19,339
2016-01-20,445
2016-01-21,529
2016-01-22,540
2016-01-23,242
2016-01-24,137
2016-01-25,448
2016-01-26,479
2016-01-27,717
2016-01-28,776
2016-01-29,742
2016-01-30,630
2016-01-31,343
2016-02-01,581
2016-02-02,587
2016-02-03,689
2016-02-04,731
2016-02-05,629
2016-02-06,378
2016-02-07,250
2016-02-08,222
2016-02-09,426
2016-02-10,805
2016-02-11,1020
2016-02-12,203
2016-02-13,318
2016-02-14,252
2016-02-15,509
2016-02-16,521
2016-02-17,787
2016-02-18,855
2016-02-19,895
2016-02-20,657
2016-02-21,569
2016-02-22,843
2016-02-23,761
2016-02-24,721
2016-02-25,836
2016-02-26,954
2016-02-27,855
2016-02-28,318
2016-02-29,476
2016-03-01,580
2016-03-02,933
2016-03-03,1314
2016-03-04,1904
2016-03-05,243
2016-03-06,1829
2016-03-07,1220
2016-03-08,1031
2016-03-09,960
2016-03-10,911
2016-03-11,964
2016-03-12,818
2016-03-13,832
2016-03-14,1283
2016-03-15,1471
2016-03-16,1625
2016-03-17,1692
2016-03-18,2330
2016-03-19,3113
2016-03-20,3183
2016-03-21,2080
2016-03-22,2061
2016-03-23,1927
2016-03-24,1940
2016-03-25,1961
2016-03-26,2204
2016-03-27,2384
2016-03-28,2283
2016-03-29,1653
2016-03-30,2311
2016-03-31,2632
2016-04-01,3391
2016-04-02,4226
2016-04-03,777
2016-04-04,3372
2016-04-05,3166
2016-04-06,3171
2016-04-07,2616
2016-04-08,3055
2016-04-09,2551
2016-04-10,2743
2016-04-11,3238
2016-04-12,2952
2016-04-13,3797
2016-04-14,2618
2016-04-15,3229
2016-04-16,987
2016-04-17,1837
2016-04-18,1771
2016-04-19,2860
2016-04-20,1759
2016-04-21,1613
2016-04-22,2496
2016-04-23,2163
2016-04-24,2982
2016-04-25,2958
2016-04-26,3309
2016-04-27,2909
2016-04-28,3279
2016-04-29,3515
2016-04-30,2671
2016-05-01,4043
2016-05-02,1737
2016-05-03,301
2016-05-04,2785
2016-05-05,4145
2016-05-06,808
2016-05-07,3530
2016-05-08,3289
2016-05-09,3194
2016-05-10,1241
2016-05-11,3327
2016-05-12,3460
2016-05-13,3751
2016-05-14,4533
2016-05-15,1059
2016-05-16,3195
2016-05-17,3621
2016-05-18,3605
2016-05-19,3355
2016-05-20,3587
2016-05-21,3611
2016-05-22,3311
2016-05-23,3353
2016-05-24,2075
2016-05-25,3595
2016-05-26,3202
2016-05-27,3597
2016-05-28,3690
2016-05-29,3700
2016-05-30,3343
2016-05-31,3541
2016-06-01,3802
2016-06-02,3766
2016-06-03,3967
2016-06-04,3713
2016-06-05,3534
2016-06-06,3820
2016-06-07,3499
2016-06-08,3805
2016-06-09,3731
2016-06-10,3539
2016-06-11,2673
2016-06-12,3095
2016-06-13,3839
2016-06-14,3497
2016-06-15,993
2016-06-16,3674
2016-06-17,3760
2016-06-18,3632
2016-06-19,3576
2016-06-20,3962
2016-06-21,3908
2016-06-22,2596
2016-06-23,3884
2016-06-24,2960
2016-06-25,4107
2016-06-26,3982
2016-06-27,4333
2016-06-28,4296
2016-06-29,4373
2016-06-30,3151
2016-07-01,1171
2016-07-02,3427
2016-07-03,3801
2016-07-04,1195
2016-07-05,386
2016-07-06,3597
2016-07-07,3897
2016-07-08,3985
2016-07-09,3179
2016-07-10,3017
2016-07-11,3347
2016-07-12,3593
2016-07-13,4353
2016-07-14,4489
2016-07-15,3463
2016-07-16,332
2016-07-17,3802
2016-07-18,5485
2016-07-19,5434
2016-07-20,5214
2016-07-21,5431
2016-07-22,5577
2016-07-23,3986
2016-07-24,4285
2016-07-25,6181
2016-07-26,6615
2016-07-27,5119
2016-07-28,6404
2016-07-29,3684
2016-07-30,5156
2016-07-31,4946
2016-08-01,6709
2016-08-02,5217
2016-08-03,6920
2016-08-04,6188
