date,count
2020-03-01,31556
2020-03-02,26116
2020-03-03,31760
2020-03-04,32951
2020-03-05,30859
2020-03-06,33234
2020-03-07,35447
2020-03-08,36888
2020-03-09,42785
2020-03-10,43845
2020-03-11,28234
2020-03-12,41423
2020-03-13,41597
2020-03-14,40944
2020-03-15,41306
2020-03-16,37720
2020-03-17,41160
2020-03-18,42685
2020-03-19,49514
2020-03-20,35732
2020-03-21,47711
2020-03-22,50633
2020-03-23,53520
2020-03-24,55296
2020-03-25,59600
2020-03-26,62764
2020-03-27,54146
2020-03-28,59477
2020-03-29,60357
2020-03-30,62787
2020-03-31,64040
2020-04-01,67286
2020-04-02,66671
2020-04-03,68493
2020-04-04,70154
2020-04-05,67540
2020-04-06,66878
2020-04-07,68339
2020-04-08,70049
2020-04-09,70209
2020-04-10,71064
2020-04-11,72139
2020-04-12,72894
2020-04-13,68407
2020-04-14,73909
2020-04-15,76167
2020-04-16,80097
2020-04-17,79357
2020-04-18,60899
2020-04-19,81578
2020-04-20,56138
2020-04-21,63970
2020-04-22,61794
2020-04-23,58522
2020-04-24,62451
2020-04-25,65490
2020-04-26,68925
2020-04-27,72267
2020-04-28,72090
2020-04-29,76938
2020-04-30,79389
2020-05-01,84454
2020-05-02,85314
2020-05-03,85261
2020-05-04,86381
2020-05-05,88636
2020-05-06,87409
2020-05-07,87929
2020-05-08,88826
2020-05-09,78487
2020-05-10,53501
2020-05-11,70068
2020-05-12,66118
2020-05-13,69622
2020-05-14,75223
2020-05-15,79235
2020-05-16,51846
2020-05-17,67680
2020-05-18,73866
2020-05-19,55959
2020-05-20,62559
2020-05-21,71550
2020-05-22,75898
2020-05-23,77710
2020-05-24,84994
2020-05-25,79098
2020-05-26,86150
2020-05-27,76394
2020-05-28,89597
2020-05-29,88849
2020-05-30,93558
2020-05-31,95716
2020-06-01,96327
2020-06-02,97346
2020-06-03,88622
2020-06-04,97525
2020-06-05,94716
2020-06-06,99897
2020-06-07,99777
2020-06-08,99938
2020-06-09,101084
2020-06-10,100896
2020-06-11,84067
2020-06-12,97431
2020-06-13,98574
2020-06-14,95328
2020-06-15,95637
2020-06-16,100231
2020-06-17,100533
2020-06-18,102510
2020-06-19,104878
2020-06-20,105055
2020-06-21,103350
2020-06-22,102378
2020-06-23,101277
2020-06-24,102219
2020-06-25,70026
2020-06-26,74774
2020-06-27,85805
2020-06-28,90492
2020-06-29,90291
2020-06-30,81010
