date,count,shift1,rain,dust,temp,holiday,user,week,predict
2017-01-01,2307,2391.0,0.0,80.41025641025641,2.7,1.0,221,6,
2017-01-02,3796,2307.0,0.3,113.97435897435898,5.0,0.0,182,0,
2017-01-03,4049,3796.0,0.0,80.94871794871794,2.0,0.0,198,1,5889.23583984375
2017-01-04,4646,4049.0,0.0,58.35897435897437,3.9,0.0,189,2,4631.37451171875
2017-01-05,4500,4646.0,0.0,38.769230769230774,3.8,0.0,190,3,5491.1474609375
2017-01-06,4944,4500.0,0.0,23.743589743589745,5.4,0.0,241,4,6099.275390625
2017-01-07,3872,4944.0,0.0,57.97435897435897,4.6,0.0,322,5,4055.4775390625
2017-01-08,3568,3872.0,0.0,34.51282051282051,6.5,0.0,312,6,4324.07568359375
2017-01-09,4228,3568.0,0.0,61.33333333333334,1.5,0.0,149,0,3686.26220703125
2017-01-10,3516,4228.0,0.0,33.128205128205124,-3.7,0.0,92,1,4442.30322265625
2017-01-11,3522,3516.0,0.0,26.69230769230769,-3.8,0.0,88,2,3987.347900390625
2017-01-12,3399,3522.0,0.0,31.974358974358967,-2.2,0.0,80,3,4350.7607421875
2017-01-13,2525,3399.0,0.6,31.512820512820515,-6.0,0.0,56,4,3263.662841796875
2017-01-14,1419,2525.0,0.0,45.282051282051285,-8.4,0.0,44,5,2732.3974609375
2017-01-15,1465,1419.0,0.0,29.07692307692308,-6.6,0.0,89,6,3197.1513671875
2017-01-16,3279,1465.0,0.0,49.89743589743589,-3.8,0.0,105,0,5095.15478515625
2017-01-17,3572,3279.0,0.0,70.92307692307692,-2.0,0.0,80,1,4476.96533203125
2017-01-18,3685,3572.0,0.0,101.71794871794873,-0.5,0.0,104,2,4618.81298828125
2017-01-19,3633,3685.0,0.0,105.64102564102564,-1.2,0.0,110,3,5983.10693359375
2017-01-20,1335,3633.0,4.0,58.769230769230774,-4.4,0.0,53,4,4269.576171875
2017-01-21,936,1335.0,2.1,50.82051282051282,-5.2,0.0,32,5,1537.031494140625
2017-01-22,705,936.0,0.0,75.89473684210526,-8.3,0.0,43,6,3484.38623046875
2017-01-23,1739,705.0,0.0,49.05263157894736,-8.9,0.0,34,0,4103.26025390625
