가입일자,사용자코드,연령대코드,성별,가입 수
2019-12-01,회원-내국인,AGE_001,F,43
2019-12-01,회원-내국인,AGE_001,M,71
2019-12-01,회원-내국인,AGE_002,F,49
2019-12-01,회원-내국인,AGE_002,M,96
2019-12-01,회원-내국인,AGE_003,F,37
2019-12-01,회원-내국인,AGE_003,M,61
2019-12-01,회원-내국인,AGE_004,F,14
2019-12-01,회원-내국인,AGE_004,M,48
2019-12-01,회원-내국인,AGE_005,F,7
2019-12-01,회원-내국인,AGE_005,M,23
2019-12-01,회원-내국인,AGE_006,M,8
2019-12-02,회원-내국인,AGE_001,F,54
2019-12-02,회원-내국인,AGE_001,M,76
2019-12-02,회원-내국인,AGE_002,F,78
2019-12-02,회원-내국인,AGE_002,M,105
2019-12-02,회원-내국인,AGE_003,F,34
2019-12-02,회원-내국인,AGE_003,M,56
2019-12-02,회원-내국인,AGE_004,F,26
2019-12-02,회원-내국인,AGE_004,M,44
2019-12-02,회원-내국인,AGE_005,F,9
2019-12-02,회원-내국인,AGE_005,M,28
2019-12-02,회원-내국인,AGE_006,F,1
2019-12-02,회원-내국인,AGE_006,M,8
2019-12-02,회원-내국인,AGE_008,M,2
2019-12-03,회원-내국인,AGE_001,F,64
2019-12-03,회원-내국인,AGE_001,M,70
2019-12-03,회원-내국인,AGE_002,F,48
2019-12-03,회원-내국인,AGE_002,M,80
2019-12-03,회원-내국인,AGE_003,F,34
2019-12-03,회원-내국인,AGE_003,M,50
2019-12-03,회원-내국인,AGE_004,F,26
2019-12-03,회원-내국인,AGE_004,M,34
2019-12-03,회원-내국인,AGE_005,F,11
2019-12-03,회원-내국인,AGE_005,M,20
2019-12-03,회원-내국인,AGE_006,F,1
2019-12-03,회원-내국인,AGE_006,M,2
2019-12-03,회원-내국인,AGE_007,F,1
2019-12-04,회원-내국인,AGE_001,F,52
2019-12-04,회원-내국인,AGE_001,M,73
2019-12-04,회원-내국인,AGE_002,F,74
2019-12-04,회원-내국인,AGE_002,M,93
2019-12-04,회원-내국인,AGE_003,F,38
2019-12-04,회원-내국인,AGE_003,M,64
2019-12-04,회원-내국인,AGE_004,F,16
2019-12-04,회원-내국인,AGE_004,M,51
2019-12-04,회원-내국인,AGE_005,F,10
2019-12-04,회원-내국인,AGE_005,M,30
2019-12-04,회원-내국인,AGE_006,F,3
2019-12-04,회원-내국인,AGE_006,M,9
2019-12-04,회원-내국인,AGE_007,M,2
2019-12-05,회원-내국인,AGE_001,F,37
2019-12-05,회원-내국인,AGE_001,M,52
2019-12-05,회원-내국인,AGE_002,F,46
2019-12-05,회원-내국인,AGE_002,M,61
2019-12-05,회원-내국인,AGE_003,F,22
2019-12-05,회원-내국인,AGE_003,M,42
2019-12-05,회원-내국인,AGE_004,F,14
2019-12-05,회원-내국인,AGE_004,M,36
2019-12-05,회원-내국인,AGE_005,F,6
2019-12-05,회원-내국인,AGE_005,M,15
2019-12-05,회원-내국인,AGE_006,M,7
2019-12-05,회원-내국인,AGE_007,M,1
2019-12-06,회원-내국인,AGE_001,F,35
2019-12-06,회원-내국인,AGE_001,M,49
2019-12-06,회원-내국인,AGE_002,F,51
2019-12-06,회원-내국인,AGE_002,M,47
2019-12-06,회원-내국인,AGE_003,F,19
2019-12-06,회원-내국인,AGE_003,M,49
2019-12-06,회원-내국인,AGE_004,F,9
2019-12-06,회원-내국인,AGE_004,M,35
2019-12-06,회원-내국인,AGE_005,F,4
2019-12-06,회원-내국인,AGE_005,M,12
2019-12-06,회원-내국인,AGE_006,M,4
