date,user
2017-01-01,221
2017-01-02,182
2017-01-03,198
2017-01-04,189
2017-01-05,190
2017-01-06,241
2017-01-07,322
2017-01-08,312
2017-01-09,149
2017-01-10,92
2017-01-11,88
2017-01-12,80
2017-01-13,56
2017-01-14,44
2017-01-15,89
2017-01-16,105
2017-01-17,80
2017-01-18,104
2017-01-19,110
2017-01-20,53
2017-01-21,32
2017-01-22,43
2017-01-23,34
2017-01-24,32
2017-01-25,72
2017-01-26,70
2017-01-27,83
2017-01-28,121
2017-01-29,51
2017-01-30,67
2017-01-31,75
2017-02-01,138
2017-02-02,119
2017-02-03,147
2017-02-04,200
2017-02-05,93
2017-02-06,125
2017-02-07,116
2017-02-08,136
2017-02-09,100
2017-02-10,64
2017-02-11,90
2017-02-12,179
2017-02-13,151
2017-02-14,166
2017-02-15,209
2017-02-16,230
2017-02-17,171
2017-02-18,180
2017-02-19,172
2017-02-20,125
2017-02-21,179
2017-02-22,77
2017-02-23,113
2017-02-24,164
2017-02-25,336
2017-02-26,548
2017-02-27,389
2017-02-28,431
2017-03-01,515
2017-03-02,265
2017-03-03,358
2017-03-04,944
2017-03-05,662
2017-03-06,219
2017-03-07,205
2017-03-08,169
2017-03-09,268
2017-03-10,365
2017-03-11,1147
2017-03-12,777
2017-03-13,431
2017-03-14,369
2017-03-15,409
2017-03-16,438
2017-03-17,601
2017-03-18,1205
2017-03-19,1512
2017-03-20,625
2017-03-21,638
2017-03-22,544
2017-03-23,602
2017-03-24,623
2017-03-25,893
2017-03-26,903
2017-03-27,347
2017-03-28,415
2017-03-29,555
2017-03-30,615
2017-03-31,247
2017-04-01,1005
2017-04-02,1724
2017-04-03,787
2017-04-04,908
2017-04-05,214
2017-04-06,405
2017-04-07,1228
2017-04-08,1721
2017-04-09,1918
2017-04-10,1393
2017-04-11,1026
2017-04-12,831
2017-04-13,737
2017-04-14,363
2017-04-15,2087
2017-04-16,2104
2017-04-17,464
2017-04-18,422
2017-04-19,831
2017-04-20,584
2017-04-21,921
2017-04-22,2047
2017-04-23,2257
2017-04-24,1070
2017-04-25,889
2017-04-26,1061
2017-04-27,976
2017-04-28,1174
2017-04-29,2319
2017-04-30,2555
2017-05-01,2201
2017-05-02,1430
2017-05-03,2956
2017-05-04,2036
2017-05-05,2651
2017-05-06,967
2017-05-07,1273
2017-05-08,811
2017-05-09,735
2017-05-10,771
2017-05-11,989
2017-05-12,967
2017-05-13,1216
2017-05-14,3483
2017-05-15,1168
2017-05-16,1226
2017-05-17,1328
2017-05-18,1354
2017-05-19,1514
2017-05-20,2579
2017-05-21,2983
2017-05-22,1642
2017-05-23,924
2017-05-24,1323
2017-05-25,1239
2017-05-26,1638
2017-05-27,2631
2017-05-28,2746
2017-05-29,1488
2017-05-30,1303
2017-05-31,1368
2017-06-01,1385
2017-06-02,1301
2017-06-03,2771
2017-06-04,2940
2017-06-05,2048
2017-06-06,1247
2017-06-07,667
2017-06-08,1307
2017-06-09,1443
2017-06-10,2666
2017-06-11,2828
2017-06-12,1539
2017-06-13,1489
2017-06-14,1419
2017-06-15,1495
2017-06-16,1555
2017-06-17,2534
2017-06-18,2406
2017-06-19,1761
2017-06-20,1799
2017-06-21,1794
2017-06-22,1787
2017-06-23,1760
2017-06-24,1441
2017-06-25,1477
2017-06-26,843
2017-06-27,1324
2017-06-28,1500
2017-06-29,1485
2017-06-30,1442
2017-07-01,1506
2017-07-02,513
2017-07-03,641
2017-07-04,1459
2017-07-05,380
2017-07-06,38
2017-07-07,484
2017-07-08,745
2017-07-09,655
2017-07-10,255
2017-07-11,1001
2017-07-12,1007
2017-07-13,1006
2017-07-14,912
2017-07-15,423
2017-07-16,1184
2017-07-17,1108
2017-07-18,905
2017-07-19,1056
2017-07-20,1024
2017-07-21,826
2017-07-22,753
2017-07-23,627
2017-07-24,810
2017-07-25,949
2017-07-26,1066
2017-07-27,940
2017-07-28,560
2017-07-29,1530
2017-07-30,1561
2017-07-31,797
2017-08-01,1123
2017-08-02,995
2017-08-03,989
2017-08-04,952
2017-08-05,902
2017-08-06,987
2017-08-07,998
2017-08-08,1332
2017-08-09,1092
2017-08-10,456
2017-08-11,953
2017-08-12,1592
2017-08-13,2072
2017-08-14,946
2017-08-15,865
2017-08-16,1011
2017-08-17,1032
2017-08-18,1257
2017-08-19,1711
2017-08-20,309
2017-08-21,1073
2017-08-22,1415
2017-08-23,665
2017-08-24,794
2017-08-25,1475
2017-08-26,2810
2017-08-27,2657
2017-08-28,874
2017-08-29,2060
2017-08-30,2044
2017-08-31,2084
2017-09-01,2547
2017-09-02,3691
2017-09-03,3880
2017-09-04,2406
2017-09-05,1784
2017-09-06,982
2017-09-08,2138
2017-09-09,3160
2017-09-10,2686
2017-09-11,1619
2017-09-12,2045
2017-09-13,1984
2017-09-14,2095
2017-09-15,2541
2017-09-16,3929
2017-09-17,4260
2017-09-18,2390
2017-09-19,1344
2017-09-20,2180
2017-09-21,2131
2017-09-22,2278
2017-09-23,3369
2017-09-24,3282
2017-09-25,2071
2017-09-26,1664
2017-09-27,1533
2017-09-28,1637
2017-09-29,1903
2017-09-30,3275
2017-10-01,1230
2017-10-02,3205
2017-10-03,2639
2017-10-04,3144
2017-10-05,3463
2017-10-06,2580
2017-10-07,4673
2017-10-08,4880
2017-10-09,4465
2017-10-10,1702
2017-10-11,1049
2017-10-12,1035
2017-10-13,1731
2017-10-14,2453
2017-10-15,2872
2017-10-16,1508
2017-10-17,1562
2017-10-18,964
2017-10-19,1508
2017-10-20,1644
2017-10-21,2566
2017-10-22,2430
2017-10-23,1358
2017-10-24,1316
2017-10-25,1172
2017-10-26,1147
2017-10-27,1465
2017-10-28,2274
2017-10-29,1522
2017-10-30,625
2017-10-31,718
2017-11-01,1025
2017-11-02,899
2017-11-03,829
2017-11-04,977
2017-11-05,1190
2017-11-06,794
2017-11-07,839
2017-11-08,701
2017-11-09,695
2017-11-10,427
2017-11-11,733
2017-11-12,757
2017-11-13,408
2017-11-14,406
2017-11-15,282
2017-11-16,264
2017-11-17,272
2017-11-18,217
2017-11-19,222
2017-11-20,224
2017-11-21,304
2017-11-22,270
2017-11-23,200
2017-11-24,181
2017-11-25,162
2017-11-26,343
2017-11-27,259
2017-11-28,377
2017-11-29,251
2017-11-30,208
2017-12-01,211
2017-12-02,323
2017-12-03,349
2017-12-04,205
2017-12-05,145
2017-12-06,152
2017-12-07,171
2017-12-08,119
2017-12-09,223
2017-12-10,175
2017-12-11,88
2017-12-12,83
2017-12-13,81
2017-12-14,102
2017-12-15,113
2017-12-16,124
2017-12-17,109
2017-12-18,76
2017-12-19,73
2017-12-20,86
2017-12-21,117
2017-12-22,143
2017-12-23,307
2017-12-24,207
2017-12-25,187
2017-12-26,134
2017-12-27,111
2017-12-28,150
2017-12-29,197
2017-12-30,166
2017-12-31,201
2018-01-01,302
2018-01-02,246
2018-01-03,205
2018-01-04,169
2018-01-05,183
2018-01-06,192
2018-01-07,253
2018-01-08,186
2018-01-09,147
2018-01-10,93
2018-01-11,76
2018-01-12,79
2018-01-13,89
2018-01-14,235
2018-01-15,195
2018-01-16,202
2018-01-17,205
2018-01-18,179
2018-01-19,201
2018-01-20,253
2018-01-21,266
2018-01-22,146
2018-01-23,69
2018-01-24,64
2018-01-25,56
2018-01-26,42
2018-01-27,99
2018-01-28,120
2018-01-29,86
2018-01-30,79
2018-01-31,103
2018-02-01,104
2018-02-02,143
2018-02-03,118
2018-02-04,105
2018-02-05,89
2018-02-06,67
2018-02-07,92
2018-02-08,150
2018-02-09,147
2018-02-10,169
2018-02-11,111
2018-02-12,109
2018-02-13,165
